datetime,temp
01/01/2021,18.6
01/02/2021,19
01/03/2021,19.2
01/04/2021,21
01/05/2021,21.9
01/06/2021,22.7
01/07/2021,24.6
01/08/2021,23.8
01/09/2021,23.7
01/10/2021,24.7
01/11/2021,23.8
01/12/2021,21.5
01/13/2021,19.1
01/14/2021,19.4
01/15/2021,18.5
01/16/2021,17.6
01/17/2021,17.6
01/18/2021,18.3
01/19/2021,19.6
01/20/2021,22
01/21/2021,20.6
01/22/2021,19.7
01/23/2021,17.7
01/24/2021,18.8
01/25/2021,20.7
01/26/2021,18.2
01/27/2021,17.8
01/28/2021,17.4
01/29/2021,18.7
01/30/2021,18.4
01/31/2021,17
02/01/2021,17.1
02/02/2021,18.1
02/03/2021,18.4
02/04/2021,19.8
02/05/2021,21.2
02/06/2021,21.3
02/07/2021,20.6
02/08/2021,19.9
02/09/2021,20.5
02/10/2021,21.2
02/11/2021,22.3
02/12/2021,23.2
02/13/2021,22.8
02/14/2021,24.1
02/15/2021,24.2
02/16/2021,24.5
02/17/2021,22.7
02/18/2021,23.6
02/19/2021,24.4
02/20/2021,23.6
02/21/2021,24
02/22/2021,24.2
02/23/2021,25.5
02/24/2021,26.1
02/25/2021,27.3
02/26/2021,27.7
02/27/2021,28.3
02/28/2021,28.9
03/01/2021,28.1
03/02/2021,27.7
03/03/2021,26.8
03/04/2021,26.7
03/05/2021,27.5
03/06/2021,28.4
03/07/2021,27.4
03/08/2021,27.8
03/09/2021,27.2
03/10/2021,26.9
03/11/2021,27.5
03/12/2021,27.6
03/13/2021,25.9
03/14/2021,25.7
03/15/2021,28.2
03/16/2021,28.7
03/17/2021,29.4
03/18/2021,29.2
03/19/2021,29.6
03/20/2021,30.2
03/21/2021,30.3
03/22/2021,30.7
03/23/2021,30.7
03/24/2021,30.7
03/25/2021,31.2
03/26/2021,30.8
03/27/2021,30
03/28/2021,30
03/29/2021,29.9
03/30/2021,31.3
03/31/2021,32.3
04/01/2021,31.2
04/02/2021,30.4
04/03/2021,30.6
04/04/2021,29.9
04/05/2021,28.1
04/06/2021,29.9
04/07/2021,29.3
04/08/2021,29.6
04/09/2021,30
04/10/2021,30.5
04/11/2021,31
04/12/2021,31.3
04/13/2021,31.2
04/14/2021,31.4
04/15/2021,31.1
04/16/2021,30.7
04/17/2021,28.9
04/18/2021,29.4
04/19/2021,31.4
04/20/2021,31.6
04/21/2021,31.1
04/22/2021,27.7
04/23/2021,30.5
04/24/2021,32.3
04/25/2021,33.1
04/26/2021,32.7
04/27/2021,32.1
04/28/2021,31.4
04/29/2021,31.1
04/30/2021,31
05/01/2021,30.9
05/02/2021,29.1
05/03/2021,28.6
05/04/2021,25.3
05/05/2021,26.6
05/06/2021,28.4
05/07/2021,28.7
05/08/2021,30
05/09/2021,28.3
05/10/2021,28.4
05/11/2021,26.9
05/12/2021,27.1
05/13/2021,27.7
05/14/2021,30.1
05/15/2021,31.9
05/16/2021,31.8
05/17/2021,32.5
05/18/2021,32.5
05/19/2021,31.8
05/20/2021,32.6
05/21/2021,32.8
05/22/2021,31.7
05/23/2021,32.9
05/24/2021,29
05/25/2021,27.8
05/26/2021,27.1
05/27/2021,28.1
05/28/2021,30.7
05/29/2021,30.7
05/30/2021,31.1
05/31/2021,27.6
06/01/2021,30.2
06/02/2021,29.4
06/03/2021,31.6
06/04/2021,32.2
06/05/2021,31.2
06/06/2021,30.4
06/07/2021,30.3
06/08/2021,30.4
06/09/2021,29.4
06/10/2021,29.5
06/11/2021,28.7
06/12/2021,29.2
06/13/2021,29.6
06/14/2021,30
06/15/2021,28.4
06/16/2021,27.7
06/17/2021,26.2
06/18/2021,27.5
06/19/2021,26.1
06/20/2021,27.7
06/21/2021,29.5
06/22/2021,29
06/23/2021,29.6
06/24/2021,31.2
06/25/2021,31.3
06/26/2021,31.3
06/27/2021,30.3
06/28/2021,31
06/29/2021,30.9
06/30/2021,31
07/01/2021,28
07/02/2021,28.7
07/03/2021,30.8
07/04/2021,29.7
07/05/2021,31.4
07/06/2021,30.8
07/07/2021,29.6
07/08/2021,28.9
07/09/2021,31
07/10/2021,31.2
07/11/2021,31.4
07/12/2021,30.8
07/13/2021,30.3
07/14/2021,30.5
07/15/2021,31.6
07/16/2021,31.6
07/17/2021,30.3
07/18/2021,31.5
07/19/2021,30.5
07/20/2021,29.1
07/21/2021,30.2
07/22/2021,29.9
07/23/2021,28.9
07/24/2021,28.5
07/25/2021,30.4
07/26/2021,30.6
07/27/2021,29.6
07/28/2021,28.9
07/29/2021,27.7
07/30/2021,28.7
07/31/2021,29.5
08/01/2021,30.7
08/02/2021,31
08/03/2021,29.7
08/04/2021,28.7
08/05/2021,30
08/06/2021,30
08/07/2021,29.3
08/08/2021,28.8
08/09/2021,30.8
08/10/2021,31.2
08/11/2021,31.8
08/12/2021,30.1
08/13/2021,29.9
08/14/2021,30.7
08/15/2021,31.8
08/16/2021,30.5
08/17/2021,29.2
08/18/2021,28.8
08/19/2021,28.3
08/20/2021,28
08/21/2021,29.4
08/22/2021,31.2
08/23/2021,31.8
08/24/2021,31.4
08/25/2021,30.9
08/26/2021,29.3
08/27/2021,28.4
08/28/2021,29.6
08/29/2021,29.3
08/30/2021,29.6
08/31/2021,30.3
09/01/2021,30.8
09/02/2021,30.7
09/03/2021,31.1
09/04/2021,31.4
09/05/2021,31.6
09/06/2021,29.6
09/07/2021,27.4
09/08/2021,29.2
09/09/2021,30
09/10/2021,30.5
09/11/2021,29
09/12/2021,29.7
09/13/2021,28.5
09/14/2021,26.6
09/15/2021,28.1
09/16/2021,29.4
09/17/2021,29.5
09/18/2021,28.1
09/19/2021,28.8
09/20/2021,26.3
09/21/2021,27.3
09/22/2021,27.7
09/23/2021,29.2
09/24/2021,30.5
09/25/2021,29.8
09/26/2021,29.1
09/27/2021,29.6
09/28/2021,27.5
09/29/2021,26.5
09/30/2021,28.7
10/01/2021,30.2
10/02/2021,30.6
10/03/2021,30.6
10/04/2021,30.4
10/05/2021,29.9
10/06/2021,29.5
10/07/2021,29.6
10/08/2021,30.9
10/09/2021,30.7
10/10/2021,30.3
10/11/2021,31
10/12/2021,30.8
10/13/2021,30.5
10/14/2021,30.1
10/15/2021,30.6
10/16/2021,29.4
10/17/2021,27.9
10/18/2021,26.7
10/19/2021,26.6
10/20/2021,28.2
10/21/2021,28.8
10/22/2021,29.5
10/23/2021,28.7
10/24/2021,28.2
10/25/2021,28.2
10/26/2021,28.5
10/27/2021,28.5
10/28/2021,28.3
10/29/2021,28.4
10/30/2021,27.7
10/31/2021,26.8
11/01/2021,26.4
11/02/2021,26.4
11/03/2021,26.7
11/04/2021,26.4
11/05/2021,25.3
11/06/2021,24.9
11/07/2021,25.1
11/08/2021,24.9
11/09/2021,25.3
11/10/2021,25.9
11/11/2021,26.6
11/12/2021,26.8
11/13/2021,25.3
11/14/2021,23.9
11/15/2021,22.7
11/16/2021,24.9
11/17/2021,24.3
11/18/2021,24.1
11/19/2021,25.1
11/20/2021,26
11/21/2021,26.4
11/22/2021,27
11/23/2021,26.9
11/24/2021,25.3
11/25/2021,24.6
11/26/2021,23.9
11/27/2021,23.1
11/28/2021,23.1
11/29/2021,23.2
11/30/2021,23.3
12/01/2021,23.3
12/02/2021,23.8
12/03/2021,23.6
12/04/2021,22.2
12/05/2021,21.7
12/06/2021,22.2
12/07/2021,23.1
12/08/2021,23.2
12/09/2021,23
12/10/2021,23.1
12/11/2021,23.2
12/12/2021,21.5
12/13/2021,20.8
12/14/2021,20.4
12/15/2021,20
12/16/2021,19.5
12/17/2021,19.8
12/18/2021,19.9
12/19/2021,18.4
12/20/2021,17
12/21/2021,17.6
12/22/2021,19
12/23/2021,18.9
12/24/2021,19.6
12/25/2021,20.2
12/26/2021,21
12/27/2021,21.3
12/28/2021,21.1
12/29/2021,20.7
12/30/2021,19.4
12/31/2021,19.7
